term,normalized
# 会計・財務基本用語
純利益,純利益
純資産,純資産
親会社,親会社
帰属,帰属
非支配株主,非支配株主
当期純利益,当期純利益
投資,投資
リスク,リスク
株主資本,株主資本
財務諸表,財務諸表
貸借対照表,貸借対照表
損益計算書,損益計算書
キャッシュフロー,キャッシュフロー
時価,時価
評価,評価
認識,認識
取引,取引
経済的事象,経済的事象
持分,持分
所有者,所有者
直接的,直接的
変動,変動
報告,報告
投資家,投資家
利用者,利用者
事業活動,事業活動
検討,検討
連携,連携
クリーンサープラス,クリーンサープラス
明示,明示
理解可能性,理解可能性
収益性,収益性
効率性,効率性
株主,株主
資本,資本
表示,表示
目的,目的
情報,情報
提供,提供
効果,効果
期待,期待
全体,全体
役立つ,役立つ
高める,高める
できる,できる
利益,利益
# 会計基準・概念
概念フレームワーク,概念フレームワーク
財務報告,財務報告
報告主体,報告主体
認識基準,認識基準
測定基準,測定基準
開示基準,開示基準
# 財務分析用語
安全性,安全性
成長性,成長性
# 投資関連用語
投資判断,投資判断
投資リスク,投資リスク
投資成果,投資成果
投資効率,投資効率
# その他専門用語
特定期間,特定期間
発生可能性,発生可能性
確実性,確実性
一定程度,一定程度
基づいて,基づいて
相対的,相対的
識別,識別
一括管理,一括管理
金融投資,金融投資
事業遂行,事業遂行
責任,責任
構成要素,構成要素
定義,定義
注目,注目
経営,経営
減損,減損
基礎,基礎
項目,項目
満たした,満たした
認識対象,認識対象
正しい,正しい
加え,加え
求められる,求められる
# 包括利益関連
包括利益,包括利益
包括利益計算書,包括利益計算書
その他の包括利益,その他の包括利益
# 誤認識修正用語
準利益,純利益
準資産,純資産
基柱,基準
可燃度,会計上
対借対象表,貸借対照表
